samAccountName,distinguishedName,displayName,userPrincipalName,enabled,lastLogonTimestamp,memberOf,description
bryan.goodwin,"CN=Bryan Goodwin,OU=InformationTechnology,DC=northwind,DC=local",Bryan Goodwin,bryan.goodwin@northwindmaterials.com,TRUE,134301378309735168,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
daniel.tran,"CN=Daniel Tran,OU=Engineering,DC=northwind,DC=local",Daniel Tran,daniel.tran@northwindmaterials.com,TRUE,134327112146054992,All-Employees;Engineering-All,"Manager, Engineering - Engineering"
jeffrey.turner,"CN=Jeffrey Turner,OU=SupplyChain,DC=northwind,DC=local",Jeffrey Turner,jeffrey.turner@northwindmaterials.com,TRUE,134322679463794176,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
heather.garcia,"CN=Heather Garcia,OU=InformationTechnology,DC=northwind,DC=local",Heather Garcia,heather.garcia@northwindmaterials.com,FALSE,134325942235740592,All-Employees;Information-Technology-All,Network Engineer - Information Technology
monique.andrews,"CN=Monique Andrews,OU=Finance,DC=northwind,DC=local",Monique Andrews,monique.andrews@northwindmaterials.com,TRUE,134263983623249296,All-Employees;Finance-All,AP Specialist - Finance
kevin.lyons,"CN=Kevin Lyons,OU=CustomerSuccess,DC=northwind,DC=local",Kevin Lyons,kevin.lyons@northwindmaterials.com,TRUE,134310809441181216,All-Employees;Customer-Success-All,Support Specialist - Customer Success
desiree.smith,"CN=Desiree Smith,OU=SupplyChain,DC=northwind,DC=local",Desiree Smith,desiree.smith@northwindmaterials.com,TRUE,134322518670208880,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
laura.wilson,"CN=Laura Wilson,OU=SupplyChain,DC=northwind,DC=local",Laura Wilson,laura.wilson@northwindmaterials.com,TRUE,134281978643999408,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
ryan.johnson,"CN=Ryan Johnson,OU=Legal,DC=northwind,DC=local",Ryan Johnson,ryan.johnson@northwindmaterials.com,TRUE,134319061012917856,All-Employees;Legal-All,Compliance Analyst - Legal
carla.welch,"CN=Carla Welch,OU=Finance,DC=northwind,DC=local",Carla Welch,carla.welch@northwindmaterials.com,TRUE,134249585842317760,All-Employees;Finance-All,Financial Analyst - Finance
ryan.james,"CN=Ryan James,OU=Finance,DC=northwind,DC=local",Ryan James,ryan.james@northwindmaterials.com,TRUE,134254458635986496,All-Employees;Finance-All,Financial Analyst - Finance
monique.clark,"CN=Monique Clark,OU=InformationTechnology,DC=northwind,DC=local",Monique Clark,monique.clark@northwindmaterials.com,TRUE,134290632314067232,All-Employees;Information-Technology-All,Network Engineer - Information Technology
ctr.leah.valdez,"CN=Leah Valdez,OU=Contractors,DC=northwind,DC=local",Leah Valdez,leah.valdez@contractor.northwindmaterials.com,TRUE,134268629815538672,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
alicia.mccoy,"CN=Alicia Mccoy,OU=Operations,DC=northwind,DC=local",Alicia Mccoy,alicia.mccoy@northwindmaterials.com,TRUE,134301817649985232,All-Employees;Operations-All,Logistics Coordinator - Operations
daniel.martin,"CN=Daniel Martin,OU=SupplyChain,DC=northwind,DC=local",Daniel Martin,daniel.martin@northwindmaterials.com,TRUE,134281037460082944,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
vincent.cooper,"CN=Vincent Cooper,OU=Manufacturing,DC=northwind,DC=local",Vincent Cooper,vincent.cooper@northwindmaterials.com,TRUE,134291630798330784,All-Employees;Manufacturing-All;Plant-Ops-Leads,Machine Operator - Manufacturing
shawn.garza,"CN=Shawn Garza,OU=Legal,DC=northwind,DC=local",Shawn Garza,shawn.garza@northwindmaterials.com,FALSE,134267723897708336,All-Employees;Legal-All,Paralegal - Legal
daniel.burton,"CN=Daniel Burton,OU=SupplyChain,DC=northwind,DC=local",Daniel Burton,daniel.burton@northwindmaterials.com,TRUE,134299349538423440,All-Employees;Supply-Chain-All,"Manager, Supply Chain - Supply Chain"
donald.bailey,"CN=Donald Bailey,OU=Manufacturing,DC=northwind,DC=local",Donald Bailey,donald.bailey@northwindmaterials.com,TRUE,134260970528708208,All-Employees;Manufacturing-All,Line Supervisor - Manufacturing
phillip.moore,"CN=Phillip Moore,OU=QualityAssurance,DC=northwind,DC=local",Phillip Moore,phillip.moore@northwindmaterials.com,TRUE,134278157108645472,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
michele.gordon,"CN=Michele Gordon,OU=Engineering,DC=northwind,DC=local",Michele Gordon,michele.gordon@northwindmaterials.com,TRUE,134260305989001840,All-Employees;Engineering-All,Senior Software Engineer - Engineering
michael.owen,"CN=Michael Owen,OU=SupplyChain,DC=northwind,DC=local",Michael Owen,michael.owen@northwindmaterials.com,TRUE,134315720845159792,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
tyler.glass,"CN=Tyler Glass,OU=Engineering,DC=northwind,DC=local",Tyler Glass,tyler.glass@northwindmaterials.com,TRUE,134287906562302720,All-Employees;Engineering-All,QA Engineer - Engineering
shannon.jensen,"CN=Shannon Jensen,OU=SupplyChain,DC=northwind,DC=local",Shannon Jensen,shannon.jensen@northwindmaterials.com,TRUE,134326676224773712,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
susan.rogers,"CN=Susan Rogers,OU=QualityAssurance,DC=northwind,DC=local",Susan Rogers,susanr@northwindmaterials.com,TRUE,134300952330428784,All-Employees;Quality-Assurance-All,Director of Quality Assurance - Quality Assurance
julie.thornton,"CN=Julie Thornton,OU=Engineering,DC=northwind,DC=local",Julie Thornton,julie.thornton@northwindmaterials.com,TRUE,134311215116825888,All-Employees;Engineering-All,Software Engineer - Engineering
kelsey.moss,"CN=Kelsey Moss,OU=SupplyChain,DC=northwind,DC=local",Kelsey Moss,kelsey.moss@northwindmaterials.com,TRUE,134275001379849184,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
laura.henderson,"CN=Laura Henderson,OU=Manufacturing,DC=northwind,DC=local",Laura Henderson,laura.henderson@northwindmaterials.com,TRUE,134303709063249264,All-Employees;Manufacturing-All,"Manager, Manufacturing - Manufacturing"
melvin.humphrey,"CN=Melvin Humphrey,OU=HumanResources,DC=northwind,DC=local",Melvin Humphrey,melvin.humphrey@northwindmaterials.com,TRUE,134251374307642656,All-Employees;Human-Resources-All,HR Coordinator - Human Resources
brandon.flynn,"CN=Brandon Flynn,OU=Finance,DC=northwind,DC=local",Brandon Flynn,brandon.flynn@northwindmaterials.com,TRUE,134289262009610192,All-Employees;Finance-All,Financial Analyst - Finance
travis.galloway,"CN=Travis Galloway,OU=Engineering,DC=northwind,DC=local",Travis Galloway,travis.galloway@northwindmaterials.com,TRUE,134314083843821472,All-Employees;Engineering-All,Software Engineer - Engineering
tiffany.moon,"CN=Tiffany Moon,OU=Engineering,DC=northwind,DC=local",Tiffany Moon,tiffany.moon@northwindmaterials.com,TRUE,134311853532451152,All-Employees;Engineering-All,Senior Software Engineer - Engineering
ctr.james.rodriguez,"CN=James Rodriguez,OU=Contractors,DC=northwind,DC=local",James Rodriguez,james.rodriguez@contractor.northwindmaterials.com,TRUE,134255558394912096,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
ctr.nicole.davis,"CN=Nicole Davis,OU=Contractors,DC=northwind,DC=local",Nicole Davis,nicole.davis@contractor.northwindmaterials.com,TRUE,134305375660122560,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
jordan.torres,"CN=Jordan Torres,OU=QualityAssurance,DC=northwind,DC=local",Jordan Torres,jordan.torres@northwindmaterials.com,TRUE,134293275311992288,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
joshua.juarez,"CN=Joshua Juarez,OU=Manufacturing,DC=northwind,DC=local",Joshua Juarez,joshua.juarez@northwindmaterials.com,FALSE,134272955303174768,All-Employees;Manufacturing-All;Plant-Ops-Leads,Plant Technician - Manufacturing
daniel.torres,"CN=Daniel Torres,OU=SupplyChain,DC=northwind,DC=local",Daniel Torres,daniel.torres@northwindmaterials.com,TRUE,134268353359108656,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
monica.lopez,"CN=Monica Lopez,OU=Legal,DC=northwind,DC=local",Monica Lopez,monica.lopez@northwindmaterials.com,TRUE,134281282280247232,All-Employees;Legal-All,Paralegal - Legal
jeffery.freeman,"CN=Jeffery Freeman,OU=Finance,DC=northwind,DC=local",Jeffery Freeman,jeffery.freeman@northwindmaterials.com,TRUE,134265388148192672,All-Employees;Finance-All,Financial Analyst - Finance
wendy.daugherty,"CN=Wendy Daugherty,OU=Manufacturing,DC=northwind,DC=local",Wendy Daugherty,wendy.daugherty@northwindmaterials.com,TRUE,134283229127780688,All-Employees;Manufacturing-All,Plant Technician - Manufacturing
ctr.alex.wall,"CN=Alex Wall,OU=Contractors,DC=northwind,DC=local",Alex Wall,alex.wall@contractor.northwindmaterials.com,TRUE,134302377299589216,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
robert.davis,"CN=Robert Davis,OU=Finance,DC=northwind,DC=local",Robert Davis,robert.davis@northwindmaterials.com,TRUE,134259654545112096,All-Employees;Finance-All,Financial Analyst - Finance
cynthia.davenport,"CN=Cynthia Davenport,OU=Engineering,DC=northwind,DC=local",Cynthia Davenport,cynthia.davenport@northwindmaterials.com,TRUE,134265991374367536,All-Employees;Engineering-All,QA Engineer - Engineering
thomas.reyes,"CN=Thomas Reyes,OU=SupplyChain,DC=northwind,DC=local",Thomas Reyes,thomas.reyes@northwindmaterials.com,TRUE,134313536382339536,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
carlos.schultz,"CN=Carlos Schultz,OU=SupplyChain,DC=northwind,DC=local",Carlos Schultz,carlos.schultz@northwindmaterials.com,TRUE,134296288432620320,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
darlene.ray,"CN=Darlene Ray,OU=Finance,DC=northwind,DC=local",Darlene Ray,darlene.ray@northwindmaterials.com,TRUE,134261718850882496,All-Employees;Finance-All,Accountant - Finance
pamela.miller,"CN=Pamela Miller,OU=Legal,DC=northwind,DC=local",Pamela Miller,pamela.miller@northwindmaterials.com,TRUE,134273047163713664,All-Employees;Legal-All,Compliance Analyst - Legal
deborah.williams,"CN=Deborah Williams,OU=Legal,DC=northwind,DC=local",Deborah Williams,deborah.williams@northwindmaterials.com,TRUE,134298831598887584,All-Employees;Legal-All,Paralegal - Legal
matthew.cook,"CN=Matthew Cook,OU=SupplyChain,DC=northwind,DC=local",Matthew Cook,matthew.cook@northwindmaterials.com,FALSE,134286316128480720,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
ctr.stephanie.bonilla,"CN=Stephanie Bonilla,OU=Contractors,DC=northwind,DC=local",Stephanie Bonilla,stephanie.bonilla@contractor.northwindmaterials.com,TRUE,134294362800734736,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
jill.porter,"CN=Jill Porter,OU=Finance,DC=northwind,DC=local",Jill Porter,jill.porter@northwindmaterials.com,TRUE,134295789458197936,All-Employees;Finance-All,Accountant - Finance
jeremy.allen,"CN=Jeremy Allen,OU=InformationTechnology,DC=northwind,DC=local",Jeremy Allen,jeremy.allen@northwindmaterials.com,TRUE,134272795110062816,All-Employees;Information-Technology-All,Network Engineer - Information Technology
veronica.casey,"CN=Veronica Casey,OU=Engineering,DC=northwind,DC=local",Veronica Casey,veronica.casey@northwindmaterials.com,TRUE,134293213328155312,All-Employees;Engineering-All,Software Engineer - Engineering
madison.zavala,"CN=Madison Zavala,OU=SupplyChain,DC=northwind,DC=local",Madison Zavala,madison.zavala@northwindmaterials.com,TRUE,134311596941566672,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
robin.thompson,"CN=Robin Thompson,OU=Legal,DC=northwind,DC=local",Robin Thompson,robin.thompson@northwindmaterials.com,TRUE,134254623850548128,All-Employees;Legal-All,Paralegal - Legal
dana.oliver,"CN=Dana Oliver,OU=Manufacturing,DC=northwind,DC=local",Dana Oliver,dana.oliver@northwindmaterials.com,TRUE,134276888627697232,All-Employees;Manufacturing-All,Plant Technician - Manufacturing
tina.kramer,"CN=Tina Kramer,OU=Finance,DC=northwind,DC=local",Tina Kramer,tina.kramer@northwindmaterials.com,TRUE,134269281437562272,All-Employees;Finance-All,Financial Analyst - Finance
scott.dalton,"CN=Scott Dalton,OU=InformationTechnology,DC=northwind,DC=local",Scott Dalton,scott.dalton@northwindmaterials.com,TRUE,134296094218688336,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
richard.hunter,"CN=Richard Hunter,OU=SupplyChain,DC=northwind,DC=local",Richard Hunter,richard.hunter@northwindmaterials.com,TRUE,134296076932771184,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
jacob.terry,"CN=Jacob Terry,OU=Engineering,DC=northwind,DC=local",Jacob Terry,jacob.terry@northwindmaterials.com,TRUE,134250086791689472,All-Employees;Engineering-All,Software Engineer - Engineering
jenny.lee,"CN=Jenny Lee,OU=Legal,DC=northwind,DC=local",Jenny Lee,jenny.lee@northwindmaterials.com,TRUE,134273364318419872,All-Employees;Legal-All,Compliance Analyst - Legal
james.warner,"CN=James Warner,OU=InformationTechnology,DC=northwind,DC=local",James Warner,james.warner@northwindmaterials.com,FALSE,134274259314515568,All-Employees;Information-Technology-All,IT Support Specialist - Information Technology
linda.wolfe,"CN=Linda Wolfe,OU=SupplyChain,DC=northwind,DC=local",Linda Wolfe,linda.wolfe@northwindmaterials.com,TRUE,134295119018825296,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
ctr.joshua.cox,"CN=Joshua Cox,OU=Contractors,DC=northwind,DC=local",Joshua Cox,joshua.cox@contractor.northwindmaterials.com,TRUE,134256446465822416,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
julie.alvarez,"CN=Julie Alvarez,OU=CustomerSuccess,DC=northwind,DC=local",Julie Alvarez,julie.alvarez@northwindmaterials.com,TRUE,134322521877656512,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
lauren.bolton,"CN=Lauren Bolton,OU=CustomerSuccess,DC=northwind,DC=local",Lauren Bolton,lauren.bolton@northwindmaterials.com,TRUE,134324779702064672,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
ctr.daisy.madden,"CN=Daisy Madden,OU=Contractors,DC=northwind,DC=local",Daisy Madden,daisy.madden@contractor.northwindmaterials.com,TRUE,134263016254978560,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
kenneth.jenkins,"CN=Kenneth Jenkins,OU=SupplyChain,DC=northwind,DC=local",Kenneth Jenkins,kenneth.jenkins@northwindmaterials.com,TRUE,134296145516706608,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
john.fischer,"CN=John Fischer,OU=Manufacturing,DC=northwind,DC=local",John Fischer,john.fischer@northwindmaterials.com,TRUE,134292502030847952,All-Employees;Manufacturing-All,Line Supervisor - Manufacturing
ctr.daniel.campbell,"CN=Daniel Campbell,OU=Contractors,DC=northwind,DC=local",Daniel Campbell,daniel.campbell@contractor.northwindmaterials.com,TRUE,134319072468359696,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
cynthia.smith,"CN=Cynthia Smith,OU=SupplyChain,DC=northwind,DC=local",Cynthia Smith,cynthia.smith@northwindmaterials.com,TRUE,134300843299156112,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
joy.wilson,"CN=Joy Wilson,OU=Finance,DC=northwind,DC=local",Joy Wilson,joy.wilson@northwindmaterials.com,TRUE,134296277950561200,All-Employees;Finance-All,Financial Analyst - Finance
lisa.long,"CN=Lisa Long,OU=CustomerSuccess,DC=northwind,DC=local",Lisa Long,lisa.long@northwindmaterials.com,TRUE,134252000919823728,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
jose.edwards,"CN=Jose Edwards,OU=QualityAssurance,DC=northwind,DC=local",Jose Edwards,jose.edwards@northwindmaterials.com,TRUE,134263008812331776,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
jennifer.walls,"CN=Jennifer Walls,OU=Engineering,DC=northwind,DC=local",Jennifer Walls,jennifer.walls@northwindmaterials.com,TRUE,134300857720487168,All-Employees;Engineering-All,Software Engineer - Engineering
anna.lewis,"CN=Anna Lewis,OU=Legal,DC=northwind,DC=local",Anna Lewis,anna.lewis@northwindmaterials.com,TRUE,134257955718570000,All-Employees;Legal-All,Paralegal - Legal
robert.hernandez,"CN=Robert Hernandez,OU=Engineering,DC=northwind,DC=local",Robert Hernandez,robert.hernandez@northwindmaterials.com,TRUE,134276750215620768,All-Employees;Engineering-All,Senior Software Engineer - Engineering
thomas.santana,"CN=Thomas Santana,OU=SupplyChain,DC=northwind,DC=local",Thomas Santana,thomas.santana@northwindmaterials.com,TRUE,134318232477863920,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
jennifer.wilson,"CN=Jennifer Wilson,OU=Legal,DC=northwind,DC=local",Jennifer Wilson,jennifer.wilson@northwindmaterials.com,TRUE,134298932549319584,All-Employees;Legal-All,Compliance Analyst - Legal
jeffrey.smith,"CN=Jeffrey Smith,OU=Operations,DC=northwind,DC=local",Jeffrey Smith,jeffrey.smith@northwindmaterials.com,TRUE,134322980853917488,All-Employees;Operations-All,Logistics Coordinator - Operations
bryce.mcknight,"CN=Bryce Mcknight,OU=Manufacturing,DC=northwind,DC=local",Bryce Mcknight,bryce.mcknight@northwindmaterials.com,FALSE,134320509566990928,All-Employees;Manufacturing-All;Plant-Ops-Leads,Production Associate - Manufacturing
craig.johnson,"CN=Craig Johnson,OU=Engineering,DC=northwind,DC=local",Craig Johnson,craig.johnson@northwindmaterials.com,TRUE,134279172345182704,All-Employees;Engineering-All,QA Engineer - Engineering
kyle.ward,"CN=Kyle Ward,OU=Finance,DC=northwind,DC=local",Kyle Ward,kyle.ward@northwindmaterials.com,TRUE,134292414867801856,All-Employees;Finance-All,AP Specialist - Finance
ctr.lindsey.hernandez,"CN=Lindsey Hernandez,OU=Contractors,DC=northwind,DC=local",Lindsey Hernandez,lindsey.hernandez@contractor.northwindmaterials.com,TRUE,134295166767603488,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
ebony.tucker,"CN=Ebony Tucker,OU=Finance,DC=northwind,DC=local",Ebony Tucker,ebony.tucker@northwindmaterials.com,TRUE,134295047864072912,All-Employees;Finance-All,Accountant - Finance
daniel.graham,"CN=Daniel Graham,OU=SupplyChain,DC=northwind,DC=local",Daniel Graham,daniel.graham@northwindmaterials.com,TRUE,134322097490015504,All-Employees;Supply-Chain-All,"Manager, Supply Chain - Supply Chain"
ctr.luis.coleman,"CN=Luis Coleman,OU=Contractors,DC=northwind,DC=local",Luis Coleman,luis.coleman@contractor.northwindmaterials.com,TRUE,134303428404101376,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
john.haas,"CN=John Haas,OU=InformationTechnology,DC=northwind,DC=local",John Haas,john.haas@northwindmaterials.com,TRUE,134295077621015696,All-Employees;Information-Technology-All,IT Support Specialist - Information Technology
tina.santos,"CN=Tina Santos,OU=SupplyChain,DC=northwind,DC=local",Tina Santos,tina.santos@northwindmaterials.com,TRUE,134258901716038416,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
ctr.christina.wilson,"CN=Christina Wilson,OU=Contractors,DC=northwind,DC=local",Christina Wilson,christina.wilson@contractor.northwindmaterials.com,TRUE,134321305332672368,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
jessica.valencia,"CN=Jessica Valencia,OU=Legal,DC=northwind,DC=local",Jessica Valencia,jessica.valencia@northwindmaterials.com,TRUE,134285386552433936,All-Employees;Legal-All,Paralegal - Legal
andrea.rowe,"CN=Andrea Rowe,OU=Engineering,DC=northwind,DC=local",Andrea Rowe,andrea.rowe@northwindmaterials.com,TRUE,134259080109045296,All-Employees;Engineering-All,DevOps Engineer - Engineering
bryan.wood,"CN=Bryan Wood,OU=QualityAssurance,DC=northwind,DC=local",Bryan Wood,bryan.wood@northwindmaterials.com,TRUE,134294069074977536,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
plant-shared-his05,"CN=plant-shared-his05,OU=ServiceAccounts,DC=northwind,DC=local",plant-shared-his05,plant-shared-his05@northwindmaterials.com,TRUE,134304323316805328,Service-Accounts,Non-interactive service/CI account
kathy.miller,"CN=Kathy Miller,OU=Engineering,DC=northwind,DC=local",Kathy Miller,kathy.miller@northwindmaterials.com,TRUE,134273302485064224,All-Employees;Engineering-All,DevOps Engineer - Engineering
michele.duke,"CN=Michele Duke,OU=Legal,DC=northwind,DC=local",Michele Duke,michele.duke@northwindmaterials.com,TRUE,134297806743748032,All-Employees;Legal-All,Compliance Analyst - Legal
amanda.dudley,"CN=Amanda Dudley,OU=Finance,DC=northwind,DC=local",Amanda Dudley,amanda.dudley@northwindmaterials.com,TRUE,134275932208257088,All-Employees;Finance-All,Director of Finance - Finance
raven.gilbert,"CN=Raven Gilbert,OU=QualityAssurance,DC=northwind,DC=local",Raven Gilbert,raven.gilbert@northwindmaterials.com,TRUE,134303394577004640,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
angela.howe,"CN=Angela Howe,OU=InformationTechnology,DC=northwind,DC=local",Angela Howe,angela.howe@northwindmaterials.com,TRUE,134326642137257728,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
david.silva,"CN=David Silva,OU=SupplyChain,DC=northwind,DC=local",David Silva,david.silva@northwindmaterials.com,TRUE,134296878894995424,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
jeffery.fox,"CN=Jeffery Fox,OU=Finance,DC=northwind,DC=local",Jeffery Fox,jeffery.fox@northwindmaterials.com,TRUE,134283611364080128,All-Employees;Finance-All,AP Specialist - Finance
jason.watson6,"CN=Jason Watson,OU=Users,DC=northwind,DC=local",Jason Watson,jason.watson6@northwindmaterials.com,TRUE,134006730856008848,All-Employees,
rodney.lewis,"CN=Rodney Lewis,OU=QualityAssurance,DC=northwind,DC=local",Rodney Lewis,rodney.lewis@northwindmaterials.com,TRUE,134267251432625616,All-Employees;Quality-Assurance-All,"Manager, Quality Assurance - Quality Assurance"
ctr.terri.park,"CN=Terri Park,OU=Contractors,DC=northwind,DC=local",Terri Park,terri.park@contractor.northwindmaterials.com,TRUE,134257080256041792,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
deborah.lynch,"CN=Deborah Lynch,OU=Engineering,DC=northwind,DC=local",Deborah Lynch,deborah.lynch@northwindmaterials.com,TRUE,134321489737702000,All-Employees;Engineering-All,Director of Engineering - Engineering
deanna.aguilar,"CN=Deanna Aguilar,OU=InformationTechnology,DC=northwind,DC=local",Deanna Aguilar,deanna.aguilar@northwindmaterials.com,TRUE,134315575230052592,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
heidi.williams,"CN=Heidi Williams,OU=SupplyChain,DC=northwind,DC=local",Heidi Williams,heidi.williams@northwindmaterials.com,FALSE,134284211253817744,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
mary.aguilar,"CN=Mary Aguilar,OU=QualityAssurance,DC=northwind,DC=local",Mary Aguilar,mary.aguilar@northwindmaterials.com,TRUE,134289555293232624,All-Employees;Quality-Assurance-All,"Manager, Quality Assurance - Quality Assurance"
sarah.hill,"CN=Sarah Hill,OU=Manufacturing,DC=northwind,DC=local",Sarah Hill,sarah.hill@northwindmaterials.com,FALSE,134309158803182176,All-Employees;Manufacturing-All,Plant Technician - Manufacturing
gabrielle.roberson,"CN=Gabrielle Roberson,OU=CustomerSuccess,DC=northwind,DC=local",Gabrielle Roberson,gabrielle.roberson@northwindmaterials.com,FALSE,134279210840814096,All-Employees;Customer-Success-All,Support Specialist - Customer Success
timothy.harris,"CN=Timothy Harris,OU=QualityAssurance,DC=northwind,DC=local",Timothy Harris,timothy.harris@northwindmaterials.com,TRUE,134296444499498240,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
ctr.sarah.cochran,"CN=Sarah Cochran,OU=Contractors,DC=northwind,DC=local",Sarah Cochran,sarah.cochran@contractor.northwindmaterials.com,TRUE,134304819207609360,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
daniel.chen,"CN=Daniel Chen,OU=Legal,DC=northwind,DC=local",Daniel Chen,daniel.chen@northwindmaterials.com,TRUE,134296098188778912,All-Employees;Legal-All,Compliance Analyst - Legal
peter.gray,"CN=Peter Gray,OU=CustomerSuccess,DC=northwind,DC=local",Peter Gray,peter.gray@northwindmaterials.com,TRUE,134303746722884656,All-Employees;Customer-Success-All,Support Specialist - Customer Success
anthony.alvarado,"CN=Anthony Alvarado,OU=QualityAssurance,DC=northwind,DC=local",Anthony Alvarado,anthony.alvarado@northwindmaterials.com,TRUE,134310737318902624,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
nicholas.galloway,"CN=Nicholas Galloway,OU=QualityAssurance,DC=northwind,DC=local",Nicholas Galloway,nicholas.galloway@northwindmaterials.com,TRUE,134257502918640496,All-Employees;Quality-Assurance-All,"Manager, Quality Assurance - Quality Assurance"
steven.vargas,"CN=Steven Vargas,OU=QualityAssurance,DC=northwind,DC=local",Steven Vargas,steven.vargas@northwindmaterials.com,TRUE,134263659101615760,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
brady.meyers,"CN=Brady Meyers,OU=QualityAssurance,DC=northwind,DC=local",Brady Meyers,brady.meyers@northwindmaterials.com,TRUE,134300269492147648,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
ctr.david.chavez,"CN=David Chavez,OU=Contractors,DC=northwind,DC=local",David Chavez,david.chavez@contractor.northwindmaterials.com,TRUE,134298613579361808,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
william.peterson,"CN=William Peterson,OU=SupplyChain,DC=northwind,DC=local",William Peterson,william.peterson@northwindmaterials.com,TRUE,134256725649596544,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
roy.hawkins,"CN=Roy Hawkins,OU=CustomerSuccess,DC=northwind,DC=local",Roy Hawkins,roy.hawkins@northwindmaterials.com,TRUE,134292318921491600,All-Employees;Customer-Success-All,Support Specialist - Customer Success
jasmine.brown,"CN=Jasmine Brown,OU=Manufacturing,DC=northwind,DC=local",Jasmine Brown,jasmine.brown@northwindmaterials.com,TRUE,134324395925778784,All-Employees;Manufacturing-All;Plant-Ops-Leads,Production Associate - Manufacturing
michael.sanders,"CN=Michael Sanders,OU=Finance,DC=northwind,DC=local",Michael Sanders,michael.sanders@northwindmaterials.com,TRUE,134273727360532496,All-Employees;Finance-All,Accountant - Finance
reginald.goodwin,"CN=Reginald Goodwin,OU=Legal,DC=northwind,DC=local",Reginald Goodwin,reginald.goodwin@northwindmaterials.com,TRUE,134284925407089360,All-Employees;Legal-All,Paralegal - Legal
richard.young,"CN=Richard Young,OU=CustomerSuccess,DC=northwind,DC=local",Richard Young,richard.young@northwindmaterials.com,TRUE,134297899038867360,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
jon.parker,"CN=Jon Parker,OU=Finance,DC=northwind,DC=local",Jon Parker,jon.parker@northwindmaterials.com,TRUE,134278640891987072,All-Employees;Finance-All,Financial Analyst - Finance
molly.jones,"CN=Molly Jones,OU=QualityAssurance,DC=northwind,DC=local",Molly Jones,molly.jones@northwindmaterials.com,FALSE,134286545268240960,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
jody.meza,"CN=Jody Meza,OU=Engineering,DC=northwind,DC=local",Jody Meza,jody.meza@northwindmaterials.com,TRUE,134311448917934640,All-Employees;Engineering-All,QA Engineer - Engineering
